#Data tag : 19v3 , Norm tag: onlineresult
+-------------+-------------------+------+---------------------------------------------------------------------------------+-------------------+-------------------+
| run:fill    | time              | ncms | hltpath                                                                         | delivered(/ub)    | recorded(/ub)     |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_Dimuon25_Jpsi_v13                                                           | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_Diphoton30PV_18PV_R9Id_AND_IsoCaloId_AND_HE_R9Id_NoPixelVeto_Mass55_v13     | 253127.507214769  | 247057.612727737  |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_Diphoton30PV_18PV_R9Id_AND_IsoCaloId_AND_HE_R9Id_PixelVeto_Mass55_v14       | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_Diphoton30_18_R9IdL_AND_HE_AND_IsoCaloId_NoPixelVeto_Mass55_v1              | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_Diphoton30_18_R9IdL_AND_HE_AND_IsoCaloId_NoPixelVeto_v1                     | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_Diphoton30_22_R9Id_OR_IsoCaloId_AND_HE_R9Id_Mass90_v13                      | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_Diphoton30_22_R9Id_OR_IsoCaloId_AND_HE_R9Id_Mass95_v13                      | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DoubleEle24_eta2p1_WPTight_Gsf_v6                                           | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DoubleEle25_CaloIdL_MW_v3                                                   | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DoubleEle27_CaloIdL_MW_v3                                                   | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DoubleEle33_CaloIdL_MW_v16                                                  | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DoubleEle8_CaloIdM_TrackIdM_Mass8_DZ_PFHT350_v19                            | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DoubleEle8_CaloIdM_TrackIdM_Mass8_PFHT350_v19                               | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DoubleIsoMu20_eta2p1_v6                                                     | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DoubleL2Mu23NoVtx_2Cha_CosmicSeed_v2                                        | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DoubleL2Mu23NoVtx_2Cha_v2                                                   | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DoubleL2Mu25NoVtx_2Cha_CosmicSeed_Eta2p4_v2                                 | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DoubleL2Mu25NoVtx_2Cha_CosmicSeed_v2                                        | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DoubleL2Mu25NoVtx_2Cha_Eta2p4_v2                                            | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DoubleL2Mu25NoVtx_2Cha_v2                                                   | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DoubleL2Mu30NoVtx_2Cha_CosmicSeed_Eta2p4_v2                                 | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DoubleL2Mu30NoVtx_2Cha_Eta2p4_v2                                            | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DoubleL2Mu50_v2                                                             | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DoubleMediumChargedIsoPFTau40_Trk1_TightID_eta2p1_Reg_v11                   | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DoubleMediumChargedIsoPFTauHPS35_Trk1_eta2p1_Reg_v2                         | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DoubleMu20_7_Mass0to30_L1_DM4EG_v7                                          | 270002.674362420  | 263528.120242919  |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DoubleMu20_7_Mass0to30_Photon23_v7                                          | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DoubleMu2_Jpsi_DoubleTkMu0_Phi_v4                                           | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DoubleMu2_Jpsi_DoubleTrk1_Phi1p05_v5                                        | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DoubleMu33NoFiltersNoVtxDisplaced_v1                                        | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 8    | HLT_DoubleMu3_DCA_PFMET50_PFMHT60_v9                                            | 2868674.122675216 | 2793114.959724117 |
| 316187:6674 | 05/12/18 03:44:35 | 8    | HLT_DoubleMu3_DZ_PFMET50_PFMHT60_v9                                             | 2868674.122675216 | 2793114.959724117 |
| 316187:6674 | 05/12/18 03:44:35 | 8    | HLT_DoubleMu3_DZ_PFMET70_PFMHT70_v9                                             | 2868674.122675216 | 2793114.959724117 |
| 316187:6674 | 05/12/18 03:44:35 | 8    | HLT_DoubleMu3_DZ_PFMET90_PFMHT90_v9                                             | 2868674.122675216 | 2793114.959724117 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DoubleMu3_DoubleEle7p5_CaloIdL_TrackIdL_Upsilon_v3                          | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DoubleMu3_TkMu_DsTau3Mu_v3                                                  | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DoubleMu3_Trk_Tau3mu_NoL1Mass_v5                                            | 202502.005771815  | 197646.090182189  |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DoubleMu3_Trk_Tau3mu_v11                                                    | 405004.011543631  | 395292.180364379  |
