#Data tag : 19v3 , Norm tag: onlineresult
+-------------+-------------------+------+---------------------------------------------------------------------------------+--------------------+--------------------+
| run:fill    | time              | ncms | hltpath                                                                         | delivered(/ub)     | recorded(/ub)      |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_Diphoton30_22_R9Id_OR_IsoCaloId_AND_HE_R9Id_Mass90_v13                      | 56323368.594788425 | 53016636.211778745 |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_Diphoton30_22_R9Id_OR_IsoCaloId_AND_HE_R9Id_Mass95_v13                      | 56323368.594788425 | 53016636.211778745 |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_DoubleEle24_eta2p1_WPTight_Gsf_v6                                           | 56323368.594788425 | 53016636.211778745 |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_DoubleEle25_CaloIdL_MW_v3                                                   | 56323368.594788425 | 53016636.211778745 |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_DoubleEle27_CaloIdL_MW_v3                                                   | 56323368.594788425 | 53016636.211778745 |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_DoubleEle33_CaloIdL_MW_v16                                                  | 56323368.594788425 | 53016636.211778745 |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_DoubleEle8_CaloIdM_TrackIdM_Mass8_DZ_PFHT350_v19                            | 56323368.594788425 | 53016636.211778745 |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_DoubleEle8_CaloIdM_TrackIdM_Mass8_PFHT350_v19                               | 56323368.594788425 | 53016636.211778745 |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_DoubleIsoMu20_eta2p1_v6                                                     | 56323368.594788425 | 53016636.211778745 |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_DoubleL2Mu23NoVtx_2Cha_CosmicSeed_v2                                        | 56323368.594788425 | 53016636.211778745 |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_DoubleL2Mu23NoVtx_2Cha_v2                                                   | 56323368.594788425 | 53016636.211778745 |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_DoubleL2Mu25NoVtx_2Cha_CosmicSeed_Eta2p4_v2                                 | 56323368.594788425 | 53016636.211778745 |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_DoubleL2Mu25NoVtx_2Cha_CosmicSeed_v2                                        | 56323368.594788425 | 53016636.211778745 |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_DoubleL2Mu25NoVtx_2Cha_Eta2p4_v2                                            | 56323368.594788425 | 53016636.211778745 |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_DoubleL2Mu25NoVtx_2Cha_v2                                                   | 56323368.594788425 | 53016636.211778745 |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_DoubleL2Mu30NoVtx_2Cha_CosmicSeed_Eta2p4_v2                                 | 56323368.594788425 | 53016636.211778745 |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_DoubleL2Mu30NoVtx_2Cha_Eta2p4_v2                                            | 56323368.594788425 | 53016636.211778745 |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_DoubleL2Mu50_v2                                                             | 56323368.594788425 | 53016636.211778745 |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_DoubleMediumChargedIsoPFTau40_Trk1_TightID_eta2p1_Reg_v11                   | 56323368.594788425 | 53016636.211778745 |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_DoubleMediumChargedIsoPFTauHPS35_Trk1_eta2p1_Reg_v2                         | 56323368.594788425 | 53016636.211778745 |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_DoubleMu20_7_Mass0to30_L1_DM4EG_v7                                          | 1877445.619826280  | 1767221.207059291  |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_DoubleMu20_7_Mass0to30_Photon23_v7                                          | 56323368.594788425 | 53016636.211778745 |
