#Data tag : 19v3 , Norm tag: onlineresult
+-------------+-------------------+------+-------------------------------------------+------------------+------------------+
| run:fill    | time              | ncms | hltpath                                   | delivered(/ub)   | recorded(/ub)    |
| 299996:6012 | 07/27/17 12:14:28 | 1259 | HLT_HISinglePhoton40_Eta3p1ForPPRef_v6    | 55245.783918416  | 54688.267787764  |
| 300018:6016 | 07/28/17 05:39:11 | 279  | HLT_HISinglePhoton40_Eta3p1ForPPRef_v6    | 17740.214379379  | 17555.830667304  |
| 300027:6016 | 07/28/17 11:45:40 | 107  | HLT_HISinglePhoton40_Eta3p1ForPPRef_v6    | 6880.939011089   | 6822.501925389   |
| 300043:6016 | 07/28/17 14:22:56 | 313  | HLT_HISinglePhoton40_Eta3p1ForPPRef_v6    | 20318.730612478  | 20135.477505823  |
| 300088:6019 | 07/29/17 07:43:15 | 312  | HLT_HISinglePhoton40_Eta3p1ForPPRef_v6    | 349677.853950231 | 321623.168809447 |
| 299996:6012 | 07/27/17 12:14:28 | 1259 | HLT_HISinglePhoton50_Eta3p1ForPPRef_v6    | 55245.783918416  | 54688.267787764  |
| 300018:6016 | 07/28/17 05:39:11 | 279  | HLT_HISinglePhoton50_Eta3p1ForPPRef_v6    | 17740.214379379  | 17555.830667304  |
| 300027:6016 | 07/28/17 11:45:40 | 107  | HLT_HISinglePhoton50_Eta3p1ForPPRef_v6    | 6880.939011089   | 6822.501925389   |
| 300043:6016 | 07/28/17 14:22:56 | 313  | HLT_HISinglePhoton50_Eta3p1ForPPRef_v6    | 20318.730612478  | 20135.477505823  |
| 300088:6019 | 07/29/17 07:43:15 | 312  | HLT_HISinglePhoton50_Eta3p1ForPPRef_v6    | 409067.405588511 | 376900.479108237 |
| 299996:6012 | 07/27/17 12:14:28 | 1259 | HLT_HISinglePhoton60_Eta3p1ForPPRef_v6    | 55245.783918416  | 54688.267787764  |
| 300018:6016 | 07/28/17 05:39:11 | 279  | HLT_HISinglePhoton60_Eta3p1ForPPRef_v6    | 17740.214379379  | 17555.830667304  |
| 300027:6016 | 07/28/17 11:45:40 | 107  | HLT_HISinglePhoton60_Eta3p1ForPPRef_v6    | 6880.939011089   | 6822.501925389   |
